s  ;s       ;s   ;s
_id;category;name;descn
FI-SW-01;FISH;Angelfish;<image src='/images/fish1.gif'>Salt Water fish from Australia
FI-SW-02;FISH;Tiger Shark;<image src='/images/fish4.gif'>Salt Water fish from Australia
FI-FW-01;FISH;Koi;<image src='/images/fish3.gif'>Fresh Water fish from Japan
FI-FW-02;FISH;Goldfish;<image src='/images/fish2.gif'>Fresh Water fish from China
K9-BD-01;DOGS;Bulldog;<image src='/images/dog2.gif'>Friendly dog from England
K9-PO-02;DOGS;Poodle;<image src='/images/dog6.gif'>Cute dog from France
K9-DL-01;DOGS;Dalmation;<image src='/images/dog5.gif'>Great dog for a Fire Station
K9-RT-01;DOGS;Golden Retriever;<image src='/images/dog1.gif'>Great family dog
K9-RT-02;DOGS;Labrador Retriever;<image src='/images/dog5.gif'>Great hunting dog
K9-CW-01;DOGS;Chihuahua;<image src='/images/dog4.gif'>Great companion dog
RP-SN-01;REPTILES;Rattlesnake;<image src='/images/snake1.gif'>Doubles as a watch dog
RP-LI-02;REPTILES;Iguana;<image src='/images/lizard1.gif'>Friendly green friend
FL-DSH-01;CATS;Manx;<image src='/images/cat2.gif'>Great for reducing mouse populations
FL-DLH-02;CATS;Persian;<image src='/images/cat1.gif'>Friendly house cat, doubles as a princess
AV-CB-01;BIRDS;Amazon Parrot;<image src='/images/bird2.gif'>Great companion for up to 75 years
AV-SB-02;BIRDS;Finch;<image src='/images/bird1.gif'>Great stress reliever
